url_ls,url_ls
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2353,2020-05-01
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2352,2020-04-30
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2349,2020-04-29
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2347,2020-04-28
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2345,2020-04-27
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&cur=cur&prid=2343&row=25&start=1,2020-04-26
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2341,2020-04-25
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2337,2020-04-24
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&cur=cur&prid=2336&row=25&start=1,2020-04-23
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2333,2020-04-22
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&cur=cur&prid=2331&row=25&start=1,2020-04-21
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2329,2020-04-20
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2326,2020-04-19
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2325,2020-04-18
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2323,2020-04-17
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2321,2020-04-16
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2319,2020-04-15
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2317,2020-04-14
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2314,2020-04-13
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2312,2020-04-12
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2311,2020-04-11
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2309,2020-04-10
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2307,2020-04-09
http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2305,2020-04-08
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2302,2020-04-07
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2300,2020-04-06
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2298,2020-04-05
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2297,2020-04-04
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&cur=cur&prid=2294&row=,2020-04-03
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&cur=cur&prid=2292&row=25&start=1,2020-04-02
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&cur=cur&prid=2291&row=25&start=1,2020-04-01
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2290,2020-03-31
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2289,2020-03-30
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2288,2020-03-29
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2287,2020-03-28
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2285,2020-03-27
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2284,2020-03-26
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2282,2020-03-25
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2280,2020-03-24
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2279,2020-03-23
http://publichealth.lacounty.gov/phcommon/public/media/mediapubdetail.cfm?unit=media&ou=ph&prog=media&prid=2277,2020-03-22
