neighborhood,lat,long
Long Beach,33.7701,-118.1937
East Rancho Dominguez,33.89807,-118.19535
Acton,34.47,-118.1967
La Canada Flintridge,34.2091,-118.2001
Lincoln Heights,34.0706,-118.2051
Boyle Heights,34.0339,-118.2054
Mt. Washington,34.1003,-118.2097
South Gate,33.956,-118.2113
Eagle Rock,34.1322,-118.2117
Lynwood,33.9293,-118.2139
Quartz Hill,34.6453,-118.2181
Compton,33.8958,-118.2201
Walnut Park,33.9689,-118.2224
Rancho Dominguez,33.8508,-118.2249
Huntington Park,33.9849,-118.2278
Glassell Park,34.1161,-118.229
West Vernon,34.0039,-118.2301
La Crescenta-Montrose,34.2288,-118.2351
Elysian Park,34.0838,-118.2366
Watts,33.9386,-118.238
Chinatown,34.0623,-118.2383
Little Tokyo,34.0523,-118.2395
Florence-Firestone,33.9632,-118.2426
Elysian Valley,34.0967,-118.2427
Wholesale District,34.03,-118.2452
Florence,33.9745,-118.2481
Downtown,34.0422,-118.2488
Temple-Beaudry,34.0629,-118.2513
Angelino Heights,34.0703,-118.2548
Glendale,34.1425,-118.2551
Willowbrook,33.917,-118.2551
Carson,33.8374,-118.2559
Vernon Central,34.0043,-118.257
Echo Park,34.0782,-118.2606
Atwater Village,34.1173,-118.2614
Wilmington,33.78,-118.2617
South Park,34.0418,-118.2639
Historic Filipinotown,34.0703,-118.268
Green Meadows,33.9556,-118.2694
Silverlake,34.0869,-118.2702
Century Palms/Cove,33.9461,-118.2732
Pico-Union,34.0446,-118.277
University Park,34.0315,-118.2797
Athens,33.92,-118.2812
Athens Village,33.92,-118.2812
Vermont Vista,33.9465,-118.2826
Figueroa Park Square,33.9602,-118.284
Los Feliz,34.1124,-118.2851
Exposition Park,34.0147,-118.2872
Vermont Knolls,33.9293,-118.2893
East Hollywood,34.0948,-118.291
San Pedro,33.7361,-118.2922
West Carson,33.8206,-118.2934
Little Bangladesh,34.0691,-118.2956
Manchester Square,33.8993,-118.2977
Harbor City,33.79,-118.2978
Wilshire Center,34.0642,-118.2984
Harbor Gateway,33.8501,-118.2991
Adams-Normandie,34.0343,-118.2993
Vermont Square,34.0037,-118.3002
Little Armenia,34.0981,-118.3005
Koreatown,34.0578,-118.3009
La Rambla,33.744119,-118.301353
Athens-Westmont,33.9238,-118.3019
Tujunga,34.2633,-118.3027
Thai Town,34.1018,-118.3036
Harvard Heights,34.044,-118.3042
Harvard Park,33.9841,-118.3042
Gardena,33.8938,-118.308
Burbank,34.1808,-118.309
Sunland,34.266,-118.3114
Gramercy Place,34.0468,-118.3127
Lomita,33.7922,-118.3151
Jefferson Park,34.0272,-118.3176
Country Club Park,34.0503,-118.3212
Hollywood Hills,34.1341,-118.3215
Leimert Park,34.0118,-118.3234
Hancock Park,34.0745,-118.3304
Hyde Park,33.9819,-118.3309
El Camino Village,33.8895,-118.3309
Victoria Park,34.047,-118.3319
Lafayette Square,34.0431,-118.3319
Hollywood,34.1016,-118.3337
Wellington Square,34.0392,-118.3343
Mid-city,34.0429,-118.3344
Melrose,34.0837,-118.3366
Longwood,34.055296,-118.339415
Baldwin Hills,34.0047,-118.3415
St Elmo Village,34.0431,-118.343
View Park/Windsor Hills,33.9943,-118.3447
Crenshaw District,34.0158,-118.3453
Torrance,33.8408,-118.3454
Cloverdale/Cochran,34.0626,-118.3465
View Heights,33.9844,-118.3477
Park LaBrea,34.0702,-118.3497
Park La Brea,34.0702,-118.3497
Miracle Mile,34.0597,-118.35
Lennox,33.9397,-118.3529
Lawndale,33.8881,-118.3535
Hawthorne,33.9194,-118.354
Shadow Hills,34.2575,-118.355
Toluca Lake,34.1502,-118.355
Inglewood,33.961,-118.3554
Rolling Hills Estates,33.7878,-118.3581
Lakeview Terrace,34.2764,-118.3612
West Adams,34.0342,-118.3623
Bassett,34.0758,-118.3678
Carthay,34.0573,-118.3679
Del Aire,33.9161,-118.3695
Ladera Heights,33.9878,-118.3704
South Carthay,34.0561,-118.3734
Cadillac-Corning,34.040282,-118.38025
Sun Valley,34.2274,-118.3811
North Hollywood,34.187,-118.3813
Crestview,34.0458,-118.3816
Valley Village,34.1633,-118.3842
Reynier Village,34.0368,-118.3856
Pico,34.0544,-118.3858
West Hollywood,34.0907,-118.386
Rancho Palos Verdes,33.7445,-118.387
Studio City,34.1413,-118.3878
Redondo Beach,33.8492,-118.3884
Beverlywood,34.0409,-118.3919
Culver City,34.0211,-118.3965
Palos Verdes Estates,33.7871,-118.3976
Hermosa Beach,33.8621,-118.4
Beverly Hills,34.0736,-118.4004
Westchester,33.9597,-118.4006
Manhattan Beach,33.8812,-118.4072
Cheviot Hills,34.0458,-118.4079
Palms,34.0237,-118.4151
Alsace,33.9786,-118.4156
Beverly Crest,34.1024,-118.4163
El Segundo,33.9192,-118.4165
Valley Glen,34.1838,-118.4172
Century City,34.0556,-118.4179
Del Rey,33.9878,-118.4229
Arleta,34.2419,-118.4256
Pacoima,34.2625,-118.427
Playa Vista,33.9728,-118.4276
Westwood,34.0561,-118.4297
Rosewood/West Rancho Dominguez,34.0057,-118.4304
San Fernado,34.2819,-118.439
San Fernando,34.2819,-118.439
West Los Angeles,34.0399,-118.4422
Bel Air,34.0833,-118.4487
Central,34.0833,-118.4487
Sherman Oaks,34.15,-118.4489
Panorama City,34.2247,-118.4498
Van Nuys,34.1899,-118.4514
Marina del Rey,33.9803,-118.4517
Sylmar,34.3058,-118.4572
Marina Peninsula,33.9797,-118.4657
Venice,33.9764,-118.4667
Mission Hills,34.2723,-118.4689
Mar Vista,34.0037,-118.469
Canyon Country,34.4245,-118.4711
Brentwood,34.0519,-118.4731
North Hills,34.2362,-118.4851
Lake Balboa,34.1839,-118.4954
Santa Monica,34.0242,-118.4965
Granada Hills,34.2794,-118.5022
Encino,34.1517,-118.5214
Pacific Palisades,34.0481,-118.5265
Northridge,34.2379,-118.5302
Reseda Ranch,34.216,-118.5356
Reseda,34.2011,-118.536
Santa Clarita,34.3917,-118.5426
Tarzana,34.1509,-118.5517
Winnetka,34.2059,-118.5754
Stevenson Ranch,34.3873,-118.5802
Canoga Park,34.2011,-118.5981
Woodland Hills,34.1659,-118.6104
Chatsworth,34.2506,-118.6148
Castaic,34.4889,-118.6229
West Hills,34.1973,-118.644
Calabasas,34.1383,-118.6608
Agoura Hills,34.1364,-118.7745
Malibu,34.0259,-118.7798
Westlake,34.1458,-118.8056
Westlake Village,34.1466,-118.8074
Santa Monica Mountains,34.1203,-118.9318
Porter Ranch,39.4346,-121.0205
